Date,Open,High,Low,Close,Adj Close,Volume
2020-11-20,192.509995,200.330002,192.235001,200.000000,200.000000,4442100
2020-11-23,200.000000,200.710007,193.220001,194.009995,194.009995,3106000
2020-11-24,193.490005,193.500000,184.199997,186.419998,186.419998,3917200
2020-11-25,188.279999,190.729996,186.580002,190.589996,190.589996,2114700
2020-11-27,192.000000,197.445007,191.009995,196.449997,196.449997,1758200
2020-11-30,198.000000,199.990005,190.250000,198.770004,198.770004,3108400
2020-12-01,198.660004,198.809998,192.000000,195.190002,195.190002,2519900
2020-12-02,192.330002,196.520004,189.410004,195.029999,195.029999,1940900
2020-12-03,196.500000,202.949997,196.000000,197.210007,197.210007,2548400
2020-12-04,197.399994,204.589996,195.800003,203.660004,203.660004,2447300
2020-12-07,199.279999,202.820007,196.059998,197.300003,197.300003,2967700
2020-12-08,199.789993,200.487000,194.580002,198.259995,198.259995,1760400
2020-12-09,199.500000,199.500000,188.809998,192.279999,192.279999,2551200
2020-12-10,192.169998,199.190002,191.449997,199.009995,199.009995,2120500
2020-12-11,198.929993,201.449997,195.589996,199.580002,199.580002,1839800
2020-12-14,197.509995,202.350006,194.339996,194.630005,194.630005,2155500
2020-12-15,196.089996,198.190002,193.470001,196.110001,196.110001,1870700
2020-12-16,188.250000,190.328995,181.149994,187.070007,187.070007,6965800
2020-12-17,190.000000,196.889999,189.699997,196.809998,196.809998,3020300
2020-12-18,197.139999,198.550003,191.600006,196.339996,196.339996,3525000
2020-12-21,199.000000,205.188004,193.919998,199.750000,199.750000,3856800
2020-12-22,201.990005,208.500000,201.460007,206.039993,206.039993,3107400
2020-12-23,206.550003,212.919998,203.300003,209.419998,209.419998,2934300
2020-12-24,211.330002,211.970001,204.210007,207.949997,207.949997,1960500
2020-12-28,209.139999,210.250000,196.309006,197.830002,197.830002,3234900
2020-12-29,200.460007,202.037994,194.440002,198.979996,198.979996,1871700
2020-12-30,202.000000,204.789993,199.500000,203.570007,203.570007,1633100
2020-12-31,202.960007,203.244995,195.559998,199.960007,199.960007,1924000
2021-01-04,199.800003,200.630005,192.000000,200.630005,200.630005,2552800
2021-01-05,200.009995,202.800003,198.160004,200.970001,200.970001,2086200
2021-01-06,199.164993,210.240005,197.000000,204.149994,204.149994,3629300
2021-01-07,209.000000,229.070007,208.369995,228.779999,228.779999,5913100
2021-01-08,227.300003,236.660004,221.960007,227.779999,227.779999,4235000
2021-01-11,227.315002,229.039993,219.000000,220.860001,220.860001,2462500
2021-01-12,225.910004,233.139999,223.729996,230.089996,230.089996,2748800
2021-01-13,231.000000,235.000000,225.630005,231.789993,231.789993,1834300
2021-01-14,226.300003,229.000000,221.300003,225.539993,225.539993,2755000
2021-01-15,228.000000,230.830002,222.600006,225.250000,225.250000,2337700
2021-01-19,228.669998,233.664993,223.500000,232.720001,232.720001,3415600
2021-01-20,235.000000,252.080002,234.199997,246.740005,246.740005,6554400
2021-01-21,245.809998,248.800003,240.500000,245.500000,245.500000,2593600
2021-01-22,244.960007,263.470001,242.729996,263.000000,263.000000,5043300
2021-01-25,265.489990,294.739990,265.489990,287.089996,287.089996,9083500
2021-01-26,283.825012,293.920013,279.000000,286.230011,286.230011,3490800
2021-01-27,275.000000,283.100006,269.190002,273.940002,273.940002,3798300
2021-01-28,268.589996,273.820007,258.500000,262.839996,262.839996,3236300
2021-01-29,262.350006,274.579987,257.661011,263.829987,263.829987,3704100
2021-02-01,265.200012,266.649994,257.000000,264.100006,264.100006,2728900
2021-02-02,270.000000,280.970001,265.829987,266.859985,266.859985,2749600
2021-02-03,269.850006,277.566010,268.750000,271.410004,271.410004,1747900
2021-02-04,277.850006,284.950012,274.000000,276.839996,276.839996,2191600
2021-02-05,280.000000,287.487000,276.529999,285.029999,285.029999,2229500
2021-02-08,286.579987,296.359985,286.420013,294.540009,294.540009,1944200
2021-02-09,293.959991,299.420013,287.059998,288.500000,288.500000,2085300
2021-02-10,290.489990,295.450012,277.359009,290.429993,290.429993,2024200
2021-02-11,291.250000,291.500000,278.395996,283.690002,283.690002,2063700
2021-02-12,285.350006,294.263000,279.769989,293.660004,293.660004,1847600
2021-02-16,298.260010,308.000000,285.739990,291.209991,291.209991,3341800
2021-02-17,288.600006,288.799988,274.510010,287.859985,287.859985,2247500
2021-02-18,283.399994,285.399994,276.664001,283.100006,283.100006,1621900
2021-02-19,286.600006,294.936005,283.904999,292.510010,292.510010,1929400
2021-02-22,292.140015,292.369995,267.260010,268.760010,268.760010,2858200
2021-02-23,251.529999,261.399994,235.000000,256.000000,256.000000,4694900
2021-02-24,256.559998,259.549988,247.380005,254.529999,254.529999,3007100
2021-02-25,240.000000,246.660004,216.809998,219.550003,219.550003,9082300
2021-02-26,222.149994,225.731003,211.320007,221.089996,221.089996,6992600
2021-03-01,227.000000,229.869995,221.149994,223.389999,223.389999,4941000
2021-03-02,229.399994,231.479996,216.350006,217.919998,217.919998,3057700
2021-03-03,214.630005,216.197006,200.889999,203.190002,203.190002,5570600
2021-03-04,201.250000,206.350006,189.410004,195.979996,195.979996,6852200
2021-03-05,194.149994,197.710007,174.000000,189.690002,189.690002,8593200
2021-03-08,188.149994,193.000000,175.509995,176.649994,176.649994,4448600
2021-03-09,186.690002,196.419998,185.139999,193.039993,193.039993,4383700
2021-03-10,196.300003,198.490005,182.173996,184.449997,184.449997,5604200
2021-03-11,190.000000,200.505005,187.750000,198.770004,198.770004,5865700
2021-03-12,195.169998,198.000000,189.360001,197.949997,197.949997,3815600
2021-03-15,201.080002,203.979996,196.220001,201.240005,201.240005,2950100
2021-03-16,204.000000,206.169998,194.289993,198.759995,198.759995,2426800
2021-03-17,184.809998,191.990005,182.220001,190.100006,190.100006,6752500
2021-03-18,189.869995,192.440002,183.089996,185.429993,185.429993,4097700
2021-03-19,185.550003,191.360001,182.240005,190.979996,190.979996,3759300
2021-03-22,192.119995,199.029999,190.179993,197.279999,197.279999,2860500
2021-03-23,197.179993,197.632996,192.539993,193.740005,193.740005,2113800
2021-03-24,194.880005,195.399994,181.199997,181.990005,181.990005,3533600
2021-03-25,177.500000,179.410004,169.009995,176.160004,176.160004,6422600
2021-03-26,178.369995,181.460007,170.434998,176.889999,176.889999,3388500
2021-03-29,175.000000,175.470001,166.699997,171.300003,171.300003,4048600
2021-03-30,169.619995,175.729996,167.949997,174.740005,174.740005,2414400
2021-03-31,178.000000,183.500000,176.619995,181.750000,181.750000,2876900
2021-04-01,187.009995,189.145996,182.231995,182.789993,182.789993,2822800
2021-04-05,187.059998,187.524994,179.100006,181.250000,181.250000,2012500
2021-04-06,182.279999,184.352005,179.669998,181.860001,181.860001,2301900
2021-04-07,182.500000,183.660004,177.600006,178.000000,178.000000,2105800
2021-04-08,181.940002,186.940002,180.350006,182.309998,182.309998,2289200
2021-04-09,182.309998,183.699997,178.449997,181.259995,181.259995,1875700
2021-04-12,181.332001,183.750000,176.263000,182.009995,182.009995,1968000
2021-04-13,184.500000,192.964005,184.429993,189.250000,189.250000,3787600
2021-04-14,190.000000,193.089996,186.119995,188.110001,188.110001,3178500
2021-04-15,192.710007,194.990005,189.660004,192.380005,192.380005,2393700
2021-04-16,193.000000,193.509995,187.880005,190.100006,190.100006,1574100
2021-04-19,188.110001,190.899994,180.718994,184.089996,184.089996,2725300
2021-04-20,183.039993,185.160004,177.229996,180.910004,180.910004,1807600
2021-04-21,179.800003,183.533997,177.110001,182.830002,182.830002,1392600
2021-04-22,185.000000,187.119995,179.220001,181.419998,181.419998,1905800
2021-04-23,182.389999,183.964996,180.660995,182.449997,182.449997,1811200
2021-04-26,184.009995,190.339996,180.529999,190.059998,190.059998,2922500
2021-04-27,190.789993,192.110001,188.000000,189.949997,189.949997,2170900
2021-04-28,186.330002,189.654999,185.399994,186.309998,186.309998,2959500
2021-04-29,174.710007,178.679993,167.809998,170.860001,170.860001,12156900
2021-04-30,169.240005,174.570007,167.869995,172.350006,172.350006,4087200
2021-05-03,172.389999,172.389999,162.272003,163.210007,163.210007,4680000
2021-05-04,160.500000,160.639999,153.289993,158.369995,158.369995,6137400
2021-05-05,159.399994,161.169998,156.080002,156.990005,156.990005,3970400
2021-05-06,155.789993,156.529999,148.500000,151.899994,151.899994,5164000
2021-05-07,152.820007,157.160004,149.210007,151.039993,151.039993,4511600
2021-05-10,150.270004,150.270004,140.100006,141.050003,141.050003,5684300
2021-05-11,133.740005,148.509995,133.169998,145.789993,145.789993,6350300
2021-05-12,142.009995,145.960007,138.440002,140.080002,140.080002,3425000
2021-05-13,140.149994,142.389999,129.740005,132.710007,132.710007,5316700
2021-05-14,134.589996,141.809998,134.580002,139.679993,139.679993,3391500
2021-05-17,138.410004,140.389999,134.740005,137.360001,137.360001,2921100
2021-05-18,138.000000,143.820007,135.199997,139.389999,139.389999,3009700
2021-05-19,135.429993,138.940002,134.169998,136.910004,136.910004,2502900
2021-05-20,137.500000,142.800003,136.660004,141.289993,141.289993,2371300
2021-05-21,143.190002,145.000000,140.395004,140.520004,140.520004,2363000
2021-05-24,141.880005,145.199997,140.830002,142.330002,142.330002,1999500
2021-05-25,144.210007,147.520004,143.850006,144.460007,144.460007,2915100
2021-05-26,145.649994,150.279999,145.279999,148.320007,148.320007,2761600
2021-05-27,148.320007,149.414993,144.100006,149.000000,149.000000,3811400
2021-05-28,150.869995,156.710007,150.240005,150.580002,150.580002,3100800
2021-06-01,153.869995,156.270004,150.389999,152.360001,152.360001,2722600
2021-06-02,151.300003,154.445007,151.059998,152.740005,152.740005,1902000
2021-06-03,151.490005,152.509995,146.009995,146.589996,146.589996,2831700
2021-06-04,147.179993,149.679993,145.139999,146.570007,146.570007,2260900
2021-06-07,147.779999,153.160004,146.470001,151.949997,151.949997,2345000
2021-06-08,154.660004,156.869995,149.279999,152.929993,152.929993,2169200
2021-06-09,153.550003,155.738998,149.910004,150.429993,150.429993,2545200
2021-06-10,150.070007,155.539993,148.880005,154.289993,154.289993,2355700
2021-06-11,155.740005,155.889999,152.380005,154.820007,154.820007,1671100
2021-06-14,156.289993,159.100006,155.160004,157.479996,157.479996,2348500
2021-06-15,157.149994,157.990005,151.820007,152.429993,152.429993,1988400
2021-06-16,151.419998,152.500000,147.240005,151.729996,151.729996,2768800
2021-06-17,150.649994,157.699997,149.240005,155.800003,155.800003,2617000
2021-06-18,156.789993,158.869995,155.059998,156.309998,156.309998,3033600
2021-06-21,154.500000,157.470001,150.529999,155.389999,155.389999,1664900
2021-06-22,155.389999,158.250000,153.759995,157.630005,157.630005,2172800
2021-06-23,158.000000,161.929993,157.070007,160.500000,160.500000,2561200
2021-06-24,161.669998,165.910004,160.729996,163.270004,163.270004,2733500
2021-06-25,165.500000,167.960007,162.559998,165.100006,165.100006,5609500
2021-06-28,167.570007,172.360001,167.054993,170.419998,170.419998,2983600
2021-06-29,171.210007,174.320007,168.945007,171.360001,171.360001,2345500
2021-06-30,171.000000,171.679993,165.660004,166.289993,166.289993,2390300
2021-07-01,165.289993,167.153000,161.488998,164.639999,164.639999,1906200
2021-07-02,165.789993,167.500000,162.699997,164.259995,164.259995,1422100
2021-07-06,164.630005,165.285004,160.690002,163.529999,163.529999,1751500
2021-07-07,164.029999,164.500000,155.179993,158.259995,158.259995,2015900
2021-07-08,154.000000,158.800003,152.149994,157.940002,157.940002,1534300
2021-07-09,157.250000,159.960007,155.598999,158.600006,158.600006,1481500
