Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2021-04-26,102.660004,103.274002,100.411003,103.269997,103.269997,8022700,PTON
2021-04-27,103.989998,104.389999,101.360001,102.339996,102.339996,5712600,PTON
2021-04-28,101.709999,104.389999,100.269997,103.220001,103.220001,6288800,PTON
2021-04-29,103.199997,103.436996,96.540001,98.900002,98.900002,13344300,PTON
2021-04-30,97.650002,101.400002,97.25,98.349998,98.349998,8767200,PTON
2021-05-03,98.258003,99.82,95.309998,95.839996,95.839996,7059000,PTON
2021-05-04,95,97.269997,92.720001,96.699997,96.699997,9224500,PTON
2021-05-05,97.75,98.800003,81.410004,82.620003,82.620003,84914500,PTON
2021-05-06,80.503998,85.379997,80.480003,83.779999,83.779999,46079400,PTON
2021-05-07,89.550003,92.019997,82.910004,83.809998,83.809998,62105000,PTON
2021-05-10,82.589996,88.269997,81.059998,87.489998,87.489998,38641900,PTON
2021-05-11,84.139999,91.379997,83.629997,91.010002,91.010002,25425900,PTON
2021-05-12,88.5,92.589996,86.510002,89.349998,89.349998,28848500,PTON
2021-05-13,90.690002,95.550003,90.528,95.290001,95.290001,28794600,PTON
2021-05-14,95.641998,97.800003,92.900002,96.580002,96.580002,18743800,PTON
2021-05-17,95.845001,96.970001,89.43,92.290001,92.290001,17851500,PTON
2021-05-18,92.959999,97.849998,92.550003,95.190002,95.190002,17131300,PTON
2021-05-19,93.353996,97.57,92.629997,96.550003,96.550003,14793300,PTON
2021-05-20,98.197998,100.75,97.800003,100.459999,100.459999,11665400,PTON
2021-05-21,99.989998,102.25,98.57,100.900002,100.900002,10514400,PTON
2021-05-24,101.720001,102.110001,98.120003,101.160004,101.160004,13135300,PTON
2021-05-25,101.160004,102.720001,98.68,99.440002,99.440002,9340200,PTON
2021-05-26,99.959999,110.489998,99.959999,109.559998,109.559998,26620600,PTON
2021-05-27,109.32,112.899002,106.949997,112.599998,112.599998,13568300,PTON
2021-05-28,112.478996,114,110.120003,110.309998,110.309998,7663400,PTON
2021-06-01,110.900002,112.989998,108.559998,108.889999,108.889999,7181200,PTON
2021-06-02,109.230003,110.57,105.949997,108.550003,108.550003,8316100,PTON
2021-06-03,106.934998,107.648003,102.911003,103.099998,103.099998,8464900,PTON
2021-06-04,103.68,104.589996,101.519997,103.010002,103.010002,6619900,PTON
